Index,Oil
535,37.51
536,34.93
537,34.62
538,39.48
539,38.94
540,38.44
541,39.96
542,42.5
543,45.22
544,44.76
545,40.15
546,41.65
547,45.38
548,43.61
549,45.52
550,47.07
551,45.71
552,42.33
553,47.03
554,46.25
555,47.35
556,49.16
557,48.14
558,51.61
559,51.06
560,53.8
561,53.98
562,52.77
563,54.34
564,52.38
565,48.41
566,49.66
567,48.39
568,52.64
569,52.51
570,51.05
571,49.15
572,49.38
573,52.24
574,50.05
575,49.41
576,49.25
577,49.98
578,50.33
579,45.88
580,46.51
581,48.85
582,49.62
583,51.55
584,50.14
585,49.92
586,50.97
587,51.12
588,53.2
589,54.47
590,53.84
591,56.34
592,56.71
593,58.63
594,58.5
595,58.85
596,58.02
597,58.62
598,56.34
599,59.03
600,59.65
601,62.04
602,61.05
603,61.67
604,62.45
605,63.45
606,65.08
607,66.31
608,68.58
609,68.55
610,66.12
611,68.81
612,68.44
613,68.09
614,70.01
615,71.33
616,72.68
617,72.04
618,70.62
619,70.47
620,71.03
621,71.37
622,69.55
623,66.93
624,69.24
625,68.67
626,70.23
627,69.16
628,71.49
629,69.89
630,69.31
631,66.73
632,64.05
633,62.93
634,60.14
635,60.41
636,59.89
637,59.69
638,59.52
639,61.54
640,62.02
641,63.56
642,63.98
643,64.72
644,65.4
645,67.16
646,68.05
647,68.38
648,67.23
649,63.35
650,66.94
651,69.45
652,71.58
653,71.42
654,71.97
655,71.94
656,70.93
657,70.6
658,69.45
659,70.16
660,70.52
661,67.51
662,66.75
663,69.19
664,72.42
665,72.54
666,73.89
667,74.37
668,72.05
669,71.43
670,72.49
671,72.74
672,69.96
673,68.05
674,68.05
675,67.96
676,68.02
677,71.1
678,71.31
679,71.94
680,69.29
681,68.86
682,70.93
683,72.51
684,72.47
685,72.04
686,69.71
687,71.55
688,68.97
689,65.89
690,66.02
691,66.84
692,66.71
693,70.61
694,70.82
695,69.95
696,70.41
697,70.88
698,69.57
699,71.69
700,71.77
701,73.27
702,74.15
703,75.18
704,77.58
705,78.53
706,79.61
707,79.09
708,81.37
709,81.19
710,80.5
711,78.68
712,79.55
713,77.46
714,79.87
715,77
716,78.13
717,79.6
718,80.4
719,79.62
720,77.43
721,79.43
722,79.05
723,79.28
724,76.94
725,76.35
726,78.9
727,79.14
728,79.58
729,77.46
730,76.72
731,77.56
732,76.02
733,77.96
734,76.05
735,77.28
736,78.37
737,76.6
738,76.46
739,75.47
740,73.93
741,72.62
742,70.67
743,70.54
744,69.87
745,69.51
746,70.69
747,72.66
748,72.65
749,73.36
750,72.47
751,74.4
752,76.67
753,78.05
754,78.77
755,78.87
756,79.28
757,79.36
758,81.51
759,81.77
760,83.18
761,82.66
762,82.75
763,82.52
764,80.79
765,79.65
766,79.39
767,78
768,79.02
769,77.62
770,76.08
771,74.54
772,75.26
773,74.71
774,73.67
775,73.64
776,72.89
777,74.43
778,77.23
779,76.98
780,73.14
781,71.19
782,71.89
783,73.75
784,74.52
785,75.28
786,74.13
787,77.01
788,77.33
789,79.06
790,79.81
791,80.16
792,78.86
793,80
794,78.17
795,79.66
796,78.7
797,79.68
798,80.87
799,80.21
800,81.5
801,81.87
802,81.49
803,82.09
804,82.11
805,81.24
806,79.8
807,81.7
808,82.93
809,82.2
810,80.68
811,81.25
812,81.91
813,80.61
814,80.53
815,80
816,82.17
817,82.37
818,83.76
819,84.87
820,86.62
821,86.84
822,85.88
823,85.39
824,84.92
825,84.34
826,84.05
827,85.84
828,85.51
829,83.24
830,81.45
831,83.45
832,83.68
833,83.7
834,85.12
835,84.2
836,82.44
837,83.22
838,85.17
839,86.15
840,86.19
841,82.74
842,79.97
843,77.11
844,75.11
845,76.8
846,76.37
847,75.65
848,74.4
849,71.61
850,70.08
851,69.41
852,69.87
853,68.01
854,70.04
855,70.21
856,68.75
857,71.51
858,74.55
859,73.97
860,72.58
861,72.86
862,74.61
863,71.51
864,71.44
865,71.99
866,74.38
867,75.48
868,73.78
869,75.12
870,76.94
871,77.67
872,76.79
873,77.18
874,77.82
875,77.21
876,76.35
877,76.51
878,78.86
879,78.25
880,75.94
881,75.63
882,72.95
883,72.14
884,71.98
885,74.07
886,75.44
887,76.09
888,74.95
889,77.15
890,77.04
891,76.62
892,76.01
893,76.54
894,77.44
895,76.56
896,79.3
897,78.98
898,78.98
899,77.5
900,76.99
901,78.36
902,78.95
903,81.34
904,82.55
905,82.47
906,82.01
907,80.7
908,81.48
909,80.25
910,78.02
911,75.74
912,75.39
913,75.24
914,75.77
915,75.42
916,74.43
917,73.46
918,73.1
919,71.63
920,72.52
921,73.36
922,75.17
923,74.7
924,71.92
925,73.91
926,75.02
927,74.6
928,74.09
929,74.67
930,74.25
931,76.45
932,77.19
933,76.8
934,76.02
935,74.57
936,73.66
937,74.86
938,73.52
939,74.71
940,75.18
941,76.49
942,76.52
943,76.18
944,77.86
945,79.97
946,81.58
947,81.47
948,82.82
949,83.23
950,81.67
951,82.66
952,82.21
953,81.67
954,83.01
955,82.69
956,81.25
957,83.08
958,79.49
959,81.77
960,80.56
961,81.69
962,82.52
963,82.55
964,81.94
965,82.18
966,81.43
967,82.95
968,83.9
969,84.69
970,86.49
971,86.85
972,87.06
973,86.72
974,87.81
975,87.81
976,84.88
977,84.86
978,82.34
979,80.44
980,81.85
981,81.51
982,81.74
983,81.25
984,83.86
985,83.76
986,85.73
987,84.11
988,86.75
989,88
990,89.19
991,89.38
992,88.69
993,88.28
994,88.37
995,87.79
996,88.61
997,88.28
998,88.62
999,87.7
1000,88.02
1001,88.81
1002,89.82
1003,90.48
1004,91.51
1005,91
1006,91.49
1007,91.12
1008,89.84
1009,91.38
1010,91.55
1011,89.38
1012,90.3
1013,88.38
1014,88.03
1015,89.25
1016,91.11
1017,91.86
1018,91.4
1019,91.54
1020,91.38
1021,90.86
1022,88.86
1023,89.11
1024,87.87
1025,86.19
1026,87.33
1027,85.64
1028,89.34
1029,92.19
1030,90.77
1031,90.86
1032,90.54
1033,89.03
1034,87.48
1035,86.94
1036,86.71
1037,86.73
1038,85.58
1039,84.81
1040,84.32
1041,84.99
1042,86.36
1043,86.2
1044,93.57
1045,98.1
1046,97.28
1047,97.88
1048,96.97
1049,99.63
1050,102.23
1051,101.91
1052,104.42
1053,105.44
1054,105.02
1055,104.38
1056,102.7
1057,101.16
1058,101.19
1059,97.18
1060,97.98
1061,101.42
1062,101.07
1063,102.33
1064,104
1065,105.75
1066,105.6
1067,105.4
1068,103.98
1069,104.79
1070,104.27
1071,106.72
1072,107.94
1073,108.47
1074,108.34
1075,108.83
1076,110.3
1077,112.79
1078,109.92
1079,106.25
1080,107.11
1081,108.11
1082,109.66
1083,107.12
1084,108.15
1085,111.45
1086,112.29
1087,112.28
1088,112.21
1089,112.76
1090,112.86
1091,113.93
1092,113.52
1093,111.05
1094,109.24
1095,99.8
1096,97.18
1097,102.55
1098,103.88
1099,98.21
1100,98.97
1101,99.65
1102,97.37
1103,96.91
1104,100.1
1105,98.44
1106,99.49
1107,97.7
1108,99.59
1109,101.32
1110,100.23
1111,100.59
1112,102.7
1113,100.29
1114,100.4
1115,100.22
1116,99.01
1117,99.09
1118,100.74
1119,101.93
1120,99.29
1121,97.3
1122,99.37
1123,94.81
1124,94.95
1125,93.01
1126,93.26
1127,93.4
1128,95.41
1129,91.02
1130,91.16
1131,90.61
1132,92.89
1133,94.77
1134,95.42
1135,94.94
1136,96.89
1137,96.65
1138,98.67
1139,96.2
1140,95.15
1141,97.43
1142,98.05
1143,95.69
1144,97.24
1145,95.93
1146,97.5
1147,98.14
1148,99.13
1149,99.87
1150,99.2
1151,99.59
1152,97.4
1153,97.44
1154,95.7
1155,94.89
1156,93.79
1157,91.93
1158,86.63
1159,86.88
1160,81.31
1161,79.3
1162,82.89
1163,85.72
1164,85.38
1165,87.88
1166,86.65
1167,87.58
1168,82.38
1169,82.26
1170,84.12
1171,85.44
1172,85.16
1173,85.3
1174,85.37
1175,87.27
1176,88.9
1177,88.81
1178,88.93
1179,86.45
1180,86.02
1181,89.34
1182,89.05
1183,87.24
1184,88.19
1185,90.21
1186,88.91
1187,89.4
1188,87.96
1189,85.7
1190,86.89
1191,85.92
1192,80.51
1193,79.85
1194,80.24
1195,84.45
1196,81.21
1197,82.14
1198,79.2
1199,77.61
1200,75.67
1201,79.68
1202,82.59
1203,82.98
1204,85.41
1205,85.81
1206,85.57
1207,84.23
1208,86.8
1209,86.38
1210,88.34
1211,86.11
1212,85.3
1213,87.4
1214,91.27
1215,93.17
1216,90.2
1217,93.96
1218,93.32
1219,93.19
1220,92.19
1221,92.51
1222,94.07
1223,94.26
1224,95.52
1225,96.8
1226,95.74
1227,97.78
1228,98.99
1229,98.14
1230,99.37
1231,102.59
1232,98.82
1233,97.41
1234,96.92
1235,98.01
1236,96.17
1237,96.77
1238,98.21
1239,99.79
1240,100.36
1241,100.2
1242,100.96
1243,100.99
1244,101.28
1245,100.49
1246,98.34
1247,99.41
1248,97.77
1249,100.14
1250,94.95
1251,93.87
1252,93.53
1253,93.88
1254,97.22
1255,98.67
1256,99.53
1257,99.68
1258,101.34
1259,99.36
1260,99.65
1261,98.83
1262,102.96
1263,103.22
1264,101.81
1265,101.56
1266,101.31
1267,102.24
1268,100.87
1269,99.1
1270,98.7
1271,100.71
1272,100.59
1273,100.39
1274,98.46
1275,99.58
1276,98.95
1277,99.4
1278,99.7
1279,99.56
1280,98.78
1281,98.48
1282,97.61
1283,96.36
1284,97.84
1285,96.91
1286,98.41
1287,98.71
1288,99.84
1289,98.67
1290,100.91
1291,100.74
1292,101.8
1293,102.31
1294,103.24
1295,105.84
1296,106.28
1297,107.83
1298,109.77
1299,108.56
1300,106.55
1301,107.07
1302,108.84
1303,106.7
1304,106.72
1305,104.7
1306,106.16
1307,106.58
1308,107.4
1309,106.34
1310,106.71
1311,105.43
1312,105.11
1313,107.06
1314,108.09
1315,105.61
1316,107.27
1317,105.35
1318,106.87
1319,107.03
1320,107.33
1321,105.41
1322,102.78
1323,103.02
1324,105.23
1325,104.01
1326,101.47
1327,103.31
1328,102.46
1329,101.02
1330,102.7
1331,103.64
1332,102.83
1333,102.93
1334,104.2
1335,102.67
1336,102.27
1337,103.05
1338,103.11
1339,103.55
1340,104.12
1341,104.55
1342,104.93
1343,104.87
1344,106.16
1345,105.22
1346,102.54
1347,98.49
1348,97.94
1349,97.01
1350,96.81
1351,97.08
1352,96.13
1353,94.78
1354,93.98
1355,92.81
1356,92.56
1357,91.48
1358,92.57
1359,91.66
1360,89.9
1361,90.66
1362,90.86
1363,90.76
1364,87.82
1365,86.53
1366,83.23
1367,83.98
1368,84.29
1369,85.02
1370,84.82
1371,84.1
1372,82.7
1373,83.32
1374,82.62
1375,83.91
1376,84.03
1377,83.27
1378,84.03
1379,81.8
1380,78.2
1381,79.76
1382,79.21
1383,79.36
1384,80.21
1385,77.69
1386,84.96
1387,83.75
1388,87.66
1389,87.22
1390,84.45
1391,85.99
1392,83.91
1393,85.81
1394,86.08
1395,87.1
1396,88.43
1397,89.22
1398,89.87
1399,92.66
1400,91.44
1401,88.14
1402,88.5
1403,88.97
1404,89.39
1405,90.13
1406,89.78
1407,88.06
1408,88.91
1409,87.13
1410,91.4
1411,92.2
1412,93.67
1413,93.35
1414,93.36
1415,92.87
1416,92.73
1417,93.43
1418,94.33
1419,95.6
1420,96.01
1421,95.97
1422,96.68
1423,97.26
1424,96.27
1425,96.15
1426,95.47
1427,96.33
1428,95.49
1429,94.62
1430,96.47
1431,95.3
1432,95.36
1433,95.53
1434,96.42
1435,96.54
1436,97.17
1437,97.01
1438,98.31
1439,99
1440,96.62
1441,95.29
1442,91.98
1443,91.87
1444,92.89
1445,91.93
1446,91.37
1447,89.98
1448,91.85
1449,92.19
1450,92.48
1451,91.89
1452,88.14
1453,91.71
1454,89.88
1455,89.33
1456,92.39
1457,91.25
1458,92.07
1459,91.86
1460,91.85
1461,92.09
1462,92.12
1463,92.1
1464,90.05
1465,88.73
1466,86.67
1467,85.73
1468,86.05
1469,86.28
1470,85.54
1471,85.68
1472,86.24
1473,87.09
1474,84.86
1475,85.65
1476,88.71
1477,84.44
1478,85.09
1479,86.07
1480,85.57
1481,85.38
1482,86.32
1483,85.45
1484,86.67
1485,89.28
1486,86.75
1487,87.38
1488,88.28
1489,87.74
1490,87.18
1491,86.49
1492,88.07
1493,88.91
1494,89.09
1495,88.5
1496,87.88
1497,86.26
1498,85.93
1499,85.56
1500,85.79
1501,86.77
1502,85.89
1503,86.73
1504,87.2
1505,87.93
1506,89.51
1507,90.13
1508,88.66
1509,88.61
1510,90.98
1511,90.87
1512,90.8
1513,91.82
1514,93.12
1515,92.92
1516,93.09
1517,93.19
1518,93.15
1519,93.1
1520,93.82
1521,93.56
1522,94.14
1523,93.28
1524,94.24
1525,95.49
1526,95.56
1527,96.24
1528,95.23
1529,95.95
1530,95.88
1531,96.44
1532,97.57
1533,97.94
1534,97.49
1535,97.77
1536,96.17
1537,96.64
1538,96.62
1539,95.83
1540,95.72
1541,97.03
1542,97.51
1543,97.01
1544,97.31
1545,95.86
1546,96.66
1547,94.46
1548,92.84
1549,93.13
1550,93.11
1551,92.63
1552,92.76
1553,92.05
1554,90.68
1555,90.12
1556,90.82
1557,90.43
1558,91.56
1559,91.95
1560,92.06
1561,92.54
1562,92.52
1563,93.03
1564,93.45
1565,93.74
1566,92.16
1567,92.96
1568,92.45
1569,93.71
1570,94.81
1571,96.34
1572,96.58
1573,97.23
1574,97.07
1575,97.19
1576,94.45
1577,93.26
1578,92.7
1579,93.36
1580,94.2
1581,94.64
1582,93.51
1583,91.29
1584,88.71
1585,88.72
1586,86.68
1587,87.73
1588,88.01
1589,88.76
1590,89.18
1591,91.43
1592,93.64
1593,93
1594,94.5
1595,93.46
1596,91.03
1597,93.99
1598,95.61
1599,96.16
1600,95.62
1601,96.62
1602,96.39
1603,96.04
1604,95.17
1605,94.21
1606,94.3
1607,95.16
1608,96.02
1609,96.71
1610,96.16
1611,94.28
1612,94.25
1613,94.15
1614,95.01
1615,93.13
1616,93.61
1617,91.97
1618,93.45
1619,93.31
1620,93.74
1621,94.76
1622,96.03
1623,95.77
1624,95.38
1625,95.88
1626,96.69
1627,97.85
1628,97.77
1629,98.44
1630,98.24
1631,95.4
1632,93.69
1633,95.18
1634,95.32
1635,95.5
1636,97.05
1637,96.56
1638,97.99
1639,99.6
1640,101.24
1641,103.22
1642,103.14
1643,103.53
1644,106.52
1645,104.91
1646,105.95
1647,106.32
1648,106
1649,106.48
1650,108.04
1651,108.05
1652,106.91
1653,107.23
1654,105.39
1655,105.49
1656,104.7
1657,104.55
1658,103.08
1659,105.03
1660,107.89
1661,106.94
1662,106.56
1663,105.3
1664,104.37
1665,103.4
1666,105.97
1667,106.11
1668,106.83
1669,106.85
1670,107.33
1671,107.46
1672,107.1
1673,104.96
1674,103.85
1675,105.03
1676,106.42
1677,105.92
1678,109.01
1679,110.1
1680,108.8
1681,107.65
1682,108.54
1683,107.23
1684,108.37
1685,110.53
1686,109.52
1687,107.39
1688,107.56
1689,108.6
1690,108.21
1691,106.59
1692,105.42
1693,108.07
1694,106.39
1695,104.67
1696,103.59
1697,103.13
1698,102.66
1699,103.03
1700,102.87
1701,102.33
1702,102.04
1703,104.1
1704,103.31
1705,103.84
1706,103.03
1707,103.49
1708,101.61
1709,103.01
1710,102.02
1711,102.41
1712,101.21
1713,102.29
1714,100.67
1715,100.81
1716,99.22
1717,97.8
1718,96.86
1719,97.11
1720,97.85
1721,98.68
1722,98.2
1723,96.77
1724,96.38
1725,94.61
1726,94.62
1727,93.37
1728,94.8
1729,94.2
1730,94.6
1731,95.14
1732,93.04
1733,93.88
1734,93.76
1735,93.84
1736,93.03
1737,93.34
1738,93.33
1739,95.44
1740,94.84
1741,94.09
1742,93.68
1743,92.3
1744,92.72
1745,93.82
1746,96.04
1747,97.2
1748,97.38
1749,97.65
1750,97.34
1751,98.51
1752,97.44
1753,97.5
1754,96.6
1755,97.48
1756,97.22
1757,97.8
1758,98.77
1759,99.32
1760,98.91
1761,99.22
1762,99.55
1763,100.32
1764,99.29
1765,98.42
1766,95.44
1767,93.96
1768,93.43
1769,93.67
1770,92.33
1771,91.66
1772,92.72
1773,91.8
1774,92.59
1775,94.17
1776,93.96
1777,94.37
1778,94.99
1779,96.73
1780,97.32
1781,96.64
1782,95.72
1783,97.41
1784,97.36
1785,98.23
1786,97.49
1787,96.43
1788,97.19
1789,97.38
1790,97.84
1791,99.88
1792,100.06
1793,99.94
1794,100.37
1795,100.35
1796,100.3
1797,102.43
1798,103.31
1799,102.92
1800,102.2
1801,102.82
1802,101.83
1803,102.59
1804,102.4
1805,102.59
1806,104.92
1807,103.33
1808,101.45
1809,101.56
1810,102.58
1811,101.12
1812,100.03
1813,97.99
1814,98.2
1815,98.89
1816,98.08
1817,99.7
1818,100.37
1819,99.43
1820,99.46
1821,99.6
1822,99.19
1823,100.26
1824,101.28
1825,101.67
1826,101.58
1827,99.74
1828,99.62
1829,100.29
1830,101.14
1831,100.44
1832,102.56
1833,103.6
1834,103.4
1835,103.74
1836,104.05
1837,103.75
1838,103.76
1839,104.3
1840,104.37
1841,102.13
1842,101.44
1843,101.94
1844,100.6
1845,100.84
1846,101.28
1847,99.74
1848,99.42
1849,99.76
1850,99.48
1851,99.5
1852,100.77
1853,100.26
1854,99.99
1855,100.59
1856,101.7
1857,102.37
1858,101.5
1859,102.02
1860,102.61
1861,102.44
1862,104.07
1863,103.74
1864,104.35
1865,104.11
1866,102.72
1867,103.58
1868,102.71
1869,102.47
1870,102.66
1871,102.64
1872,102.48
1873,102.66
1874,104.41
1875,104.35
1876,104.4
1877,106.53
1878,106.91
1879,106.9
1880,106.36
1881,105.97
1882,106.43
1883,107.26
1884,106.17
1885,106.03
1886,106.5
1887,105.84
1888,105.74
1889,105.37
1890,105.34
1891,104.48
1892,104.06
1893,103.53
1894,103.4
1895,102.29
1896,102.93
1897,100.83
1898,100.91
1899,99.96
1900,101.2
1901,103.19
1902,103.13
1903,104.59
1904,104.42
1905,103.12
1906,102.07
1907,102.09
1908,101.67
1909,100.97
1910,100.27
1911,98.17
1912,97.88
1913,98.29
1914,97.38
1915,96.92
1916,97.34
1917,97.65
1918,98.08
1919,97.37
1920,97.59
1921,95.58
1922,97.35
1923,96.41
1924,94.48
1925,96.07
1926,93.96
1927,93.65
1928,93.35
1929,93.86
1930,93.88
1931,94.55
1932,95.96
1933,92.88
1934,95.54
1935,94.45
1936,93.29
1937,92.66
1938,92.75
1939,91.67
1940,92.83
1941,92.27
1942,92.92
1943,94.88
1944,94.42
1945,93.07
1946,92.41
1947,91.52
1948,91.56
1949,92.8
1950,92.53
1951,93.54
1952,94.57
1953,91.16
1954,90.73
1955,91.01
1956,89.74
1957,90.34
1958,88.85
1959,87.31
1960,85.77
1961,85.82
1962,85.74
1963,81.84
1964,81.78
1965,82.7
1966,82.75
1967,82.71
1968,82.81
1969,80.52
1970,82.09
1971,81.01
1972,81
1973,81.42
1974,82.2
1975,81.12
1976,80.54
1977,78.78
1978,77.19
1979,78.68
1980,77.91
1981,78.65
1982,77.4
1983,77.94
1984,77.18
1985,74.21
1986,75.82
1987,75.64
1988,74.61
1989,74.58
1990,75.58
1991,76.51
1992,75.78
1993,74.09
1994,73.69
1995,66.15
1996,69
1997,66.88
1998,67.38
1999,66.81
2000,65.84
2001,63.05
2002,63.82
2003,60.94
2004,59.95
2005,57.81
2006,55.91
2007,55.93
2008,56.47
2009,54.11
2010,56.52
2011,55.26
2012,57.12
2013,55.84
2014,54.73
2015,53.61
2016,54.12
2017,53.27
2018,52.69
2019,50.04
2020,47.93
2021,48.65
2022,48.79
2023,48.36
2024,46.07
2025,45.89
2026,48.48
